BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by Keller Williams Realty Elite,Multi-family home,915999,5,3,2184.207862,East Elmhurst,"26-39 93rd StEast Elmhurst, NY 11369",United States,New York,Queens County,40.7618985,-73.8758538
Brokered by RE MAX Edge,Multi-family home,1850000,12,8,5250.0,Brooklyn,"1727 E 14th StBrooklyn, NY 11229",United States,New York,Kings County,40.6074371,-73.9588281
Brokered by Pantiga Group Inc.,Co-op,175000,1,1,800.0,Bronx,"190 E Mosholu Pkwy S Apt 3BBronx, NY 10458",New York,Bronx County,The Bronx,40.8742949,-73.883753
"Brokered by SBRW - SBROWNRE,LLC",Pending,850000,2,1,775.0,New York,"236 E 6th St Apt 3WNew York, NY 10003",New York,New York County,New York,40.7274335,-73.9892241
Brokered by Winzone Realty Inc,House,729000,4,2,2184.207862,Cambria Heights,"118-18 225th StCambria Heights, NY 11411",United States,New York,Queens County,40.6917538,-73.7370978
Brokered by Douglas Elliman - 156 Montague,Townhouse,5995000,6,4,4000.0,Brooklyn,"136 Kane StBrooklyn, NY 11231",United States,New York,Kings County,40.6868209,-73.9988226
Brokered by EXP Realty,Co-op,480000,2,1,2184.207862,Forest Hills,"66-36 Yellowstone Blvd Unit 22BForest Hills, NY 11375",New York,Queens County,Queens,40.7291499,-73.84944
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,House,4200000,5,4,4480.0,New York,"164 W 88th StNew York, NY 10024",United States,New York,New York County,40.788437,-73.9731887
Brokered by Daniel Gale Sotheby's International Realty,Townhouse,1198000,4,2,2184.207862,Queens,"68-09 Olcott StQueens, NY 11375",United States,New York,Queens County,40.7129312,-73.8561994
"Brokered by BEN BAY REALTY, CO.",House,1848000,6,2,3676.0,Brooklyn,"976 Ocean AveBrooklyn, NY 11226",United States,New York,Kings County,40.6386251,-73.9591955
Brokered by eXp Realty BKNY,Co-op,285000,1,1,750.0,Brooklyn,"1293 E 5th St Apt 6BBrooklyn, NY 11230",New York,Kings County,Brooklyn,40.6195811,-73.9706361
Brokered by Realty Trends Corp,Multi-family home,849000,5,3,2460.0,Far Rockaway,"43-06 Rockaway Beach BlvdFar Rockaway, NY 11691",United States,New York,Queens County,40.5939428,-73.7748361
Brokered by COMPASS,House,549000,3,2,1250.0,Bronx,"1764 Undercliff AveBronx, NY 10453",United States,New York,Bronx County,40.8515331,-73.9197862
