TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE,AREA_PER_ROOM,BATH_PER_BED,TOTAL_ROOMS,SQFT_PER_BED,BATH_ROOM_DIFF,SIZE_CATEGORY
Condo,14.603968372873895,2,2,1308.0,Manhattan,"32 E 76th St Apt 805Manhattan, NY 10021",New York,New York,40.7740269,-73.9632939,261.6,0.6666666666666666,4,436.0,0,Medium
House,13.384729180332174,3,2,1218.0,Staten Island,"23 Jackson StStaten Island, NY 10304",United States,Richmond County,40.6306934,-74.0794192,203.0,0.5,5,304.5,-1,Medium
House,12.75130259456002,3,2,2184.207862,Queens,"183-12 Elmira AveQueens, NY 11412",United States,Queens County,40.701334,-73.772164,364.0346436666667,0.5,5,546.0519655,-1,Large
Townhouse,15.876024217147117,5,4,6060.0,Manhattan,"128 E 19th StManhattan, NY 10003",United States,New York County,40.7366749,-73.9860561,606.0,0.6666666666666666,9,1010.0,-1,Luxury
Multi-family home,15.424748650435696,8,5,4120.0,Manhattan,"458 W 51st StManhattan, NY 10019",United States,New York County,40.764924,-73.9907911,294.2857142857143,0.5555555555555556,13,457.77777777777777,-3,Large
House,15.404745967162468,4,2,3100.0,New York,"157 E 78th StNew York, NY 10075",United States,New York County,40.7742274,-73.9588396,442.85714285714283,0.4,6,620.0,-2,Large
Pending,12.608202196848836,3,1,2184.207862,New York,"465 W 57th St Apt 3BNew York, NY 10019",New York,New York,40.76907,-73.987788,436.8415724,0.25,4,546.0519655,-2,Large
House,14.271669414101318,5,3,2152.0,Other,"67-27 181st StFresh Meadows, NY 11365",United States,Queens County,40.7346802,-73.7905086,239.11111111111111,0.5,8,358.6666666666667,-2,Large
House,13.480039220276565,3,2,2184.207862,Other,"194-11 112th AveSaint Albans, NY 11412",United States,Queens County,40.701497,-73.7613803,364.0346436666667,0.5,5,546.0519655,-1,Large
Townhouse,13.304686600863562,3,1,2184.207862,Brooklyn,"40 Somers St Unit 2Brooklyn, NY 11233",New York,Brooklyn,40.6786381,-73.910662,436.8415724,0.25,4,546.0519655,-2,Large
House,13.652992804936396,3,2,1090.0,Staten Island,"101 Dalemere RdStaten Island, NY 10304",United States,Richmond County,40.5952951,-74.1039687,181.66666666666666,0.5,5,272.5,-1,Medium
Condo,14.482827491573198,2,2,1288.0,New York,"277 E 7th St Apt 2New York, NY 10009",New York,New York,40.7234874,-73.976864,257.6,0.6666666666666666,4,429.3333333333333,0,Medium
Multi-family home,14.28551418721001,5,4,3773.0,Staten Island,"160 Rathbun Ave Unit AStaten Island, NY 10312",United States,Richmond County,40.5461245,-74.1826661,377.3,0.6666666666666666,9,628.8333333333334,-1,Large
House,13.369225017834633,3,2,1110.0,Staten Island,"58 Elmwood AveStaten Island, NY 10308",United States,Richmond County,40.542861,-74.154978,185.0,0.5,5,277.5,-1,Medium
